,taxon_id,taxon,species_y
78,75832,crocodylus acutus,acutus
79,109990,crossoptilon crossoptilon,crossoptilon
80,109991,crossoptilon mantchuricum,mantchuricum
81,50519,cyanoramphus novaezelandiae,novaezelandiae
82,115382,eulemur mongoz,mongoz
83,62740,falco peregrinus,peregrinus
84,110296,grus monacha,monacha
85,121107,grus vipio,vipio
86,96625,hylobates lar,lar
87,136354,kobus leche,leche
88,101702,leopardus jacobita,jacobita
89,101699,leopardus tigrinus,tigrinus
90,34024,lophophorus impejanus,impejanus
91,120700,lophura edwardsi,edwardsi
92,67897,microcebus murinus,murinus
93,134351,nasalis larvatus,larvatus
94,111454,neofelis nebulosa,nebulosa
95,34575,neophema splendida,splendida
96,132944,nomascus leucogenys,leucogenys
97,121159,polyplectron napoleonis,napoleonis
98,118291,pongo abelii,abelii
99,136358,priodontes maximus,maximus
100,25665,prionailurus bengalensis,bengalensis
101,136359,pudu puda,puda
102,96830,rhinoceros unicornis,unicornis
103,135203,rhynochetos jubatus,jubatus
104,136360,rucervus duvaucelii,duvaucelii
105,96628,symphalangus syndactylus,syndactylus
106,109992,syrmaticus ellioti,ellioti
107,109994,syrmaticus mikado,mikado
108,136362,vicugna vicugna,vicugna
109,135204,vultur gryphus,gryphus
110,136363,addax nasomaculatus,nasomaculatus
111,137002,aloe antandroi,antandroi
112,137003,aloe arborescens,arborescens
113,137007,aloe camperi,camperi
114,137011,aloe dawei,dawei
115,137012,aloe deltoideodonta,deltoideodonta
116,137019,aloe inyangensis,inyangensis
117,137020,aloe jucunda,jucunda
118,137024,aloe mubendiensis,mubendiensis
119,137025,aloe munchii,munchii
120,137030,aloe pubescens,pubescens
121,137031,aloe rabaiensis,rabaiensis
122,137034,aloe rupestris,rupestris
123,137035,aloe schelpei,schelpei
124,137038,aloe striata,striata
125,137039,aloe suarezensis,suarezensis
126,137041,aloe volkensii,volkensii
127,137043,aloe yavellana,yavellana
128,101967,ambystoma mexicanum,mexicanum
129,23889,arctocephalus australis,australis
130,133403,argusianus argus,argus
131,110294,balearica regulorum,regulorum
132,39591,caracal caracal,caracal
133,116364,caretta caretta,caretta
134,134220,cebus capucinus,capucinus
135,108738,chrysocyon brachyurus,brachyurus
136,34066,coscoroba coscoroba,coscoroba
137,6342,crocodylus johnstoni,johnstoni
138,15391,crocodylus porosus,porosus
139,34064,cygnus melancoryphus,melancoryphus
140,134456,elachistodon westermanni,westermanni
141,36340,epimachus meyeri,meyeri
142,95513,eretmochelys imbricata,imbricata
143,113757,falco cherrug,cherrug
144,133093,falco jugger,jugger
145,34026,gallus sonneratii,sonneratii
146,118304,geochelone elegans,elegans
147,121106,goura cristata,cristata
148,135206,gypaetus barbatus,barbatus
149,76178,kinixys homeana,homeana
150,115393,lemur catta,catta
151,25664,leopardus geoffroyi,geoffroyi
152,67898,lophorina superba,superba
153,101534,macaca sylvanus,sylvanus
154,35406,microhierax caerulescens,caerulescens
155,23899,mirounga leonina,leonina
156,134458,morelia amethistina,amethistina
157,134459,morelia bredli,bredli
158,100689,myrmecophaga tridactyla,tridactyla
159,151527,neoceratodus forsteri,forsteri
160,20057,orycteropus afer,afer
161,6340,paleosuchus palpebrosus,palpebrosus
162,112174,pan paniscus,paniscus
163,49813,paradisaea minor,minor
164,49814,paradisaea raggiana,raggiana
165,41809,parotia lawesii,lawesii
166,135207,phoenicopterus chilensis,chilensis
167,35804,rupicola rupicola,rupicola
168,128916,spheniscus demersus,demersus
169,84803,testudo graeca,graeca
170,84804,testudo horsfieldii,horsfieldii
171,66345,testudo marginata,marginata
172,45832,ursus arctos,arctos
173,41159,falco rusticolus,rusticolus
174,136367,gazella dorcas,dorcas
175,135210,haliaeetus leucocephalus,leucocephalus
176,34577,poicephalus gulielmi,gulielmi
177,120673,psittacus erithacus,erithacus
178,23949,vulpes zerda,zerda
179,132644,amazona leucocephala,leucocephala
180,120768,anas laysanensis,laysanensis
181,98099,bettongia penicillata,penicillata
182,136369,blastocerus dichotomus,dichotomus
183,136370,bos gaurus,gaurus
184,134467,casarea dussumieri,dussumieri
185,114113,catreus wallichii,wallichii
186,76042,chelonoidis niger,niger
187,99791,dermochelys coriacea,coriacea
188,137224,fitzroya cupressoides,cupressoides
189,126789,gavialis gangeticus,gangeticus
190,110297,grus japonensis,japonensis
191,135214,haliaeetus albicilla,albicilla
192,96627,hylobates agilis,agilis
193,136373,leontopithecus rosalia,rosalia
194,76260,lepidochelys olivacea,olivacea
195,98003,lutra lutra,lutra
196,136374,naemorhedus goral,goral
197,96631,nomascus concolor,concolor
198,136375,ovis gmelini,gmelini
199,136377,ozotoceros bezoarticus,bezoarticus
200,114889,panthera leo,leo
201,49409,pionopsitta pileata,pileata
202,136380,saguinus geoffroyi,geoffroyi
203,136381,saguinus oedipus,oedipus
204,18132,semnopithecus entellus,entellus
205,84883,trichechus manatus,manatus
206,129985,ursus thibetanus,thibetanus
207,134468,varanus komodoensis,komodoensis
208,135217,accipiter gentilis,gentilis
209,135218,accipiter nisus,nisus
210,135219,aegypius monachus,monachus
211,134470,amblyrhynchus cristatus,cristatus
212,134471,antaresia childreni,childreni
213,68520,aotus trivirgatus,trivirgatus
214,135220,aquila audax,audax
215,135221,aquila chrysaetos,chrysaetos
216,135222,aquila rapax,rapax
217,136895,arapaima gigas,gigas
218,137234,araucaria araucana,araucana
219,23890,arctocephalus pusillus,pusillus
220,49810,astrapia stephaniae,stephaniae
221,134199,ateles paniscus,paniscus
222,134474,bothrochilus boa,boa
223,42300,bubo bubo,bubo
224,34539,cacatua tenuirostris,tenuirostris
225,136386,callithrix jacchus,jacchus
226,64352,canis lupus,lupus
227,38328,caracara plancus,plancus
228,68525,cebus albifrons,albifrons
229,128128,cercocebus torquatus,torquatus
230,18137,cercopithecus ascanius,ascanius
231,64574,cercopithecus cephus,cephus
232,69072,cercopithecus mitis,mitis
233,18136,cercopithecus neglectus,neglectus
234,130014,cercopithecus nictitans,nictitans
235,96571,cercopithecus petaurista,petaurista
236,134477,chamaeleo chamaeleon,chamaeleon
237,44047,chersina angulata,angulata
238,18143,chlorocebus aethiops,aethiops
239,135223,circus aeruginosus,aeruginosus
240,135224,circus cyaneus,cyaneus
241,135225,cnemophilus macgregorii,macgregorii
242,18135,colobus guereza,guereza
243,96569,colobus polykomos,polykomos
244,134482,corallus hortulanus,hortulanus
245,100313,cryptoprocta ferox,ferox
246,137256,cycas circinalis,circinalis
247,134484,cyclura cornuta,cornuta
248,137266,dioon edule,edule
