species_id,year,endangered_status
136354,2017,Near Threatened
136354,2008,Least Concern
136354,1996,Lower Risk/conservation dependent
136354,1994,Vulnerable
136354,1990,Vulnerable
136354,1988,Vulnerable
136354,1986,Vulnerable
101702,2016,Endangered
101702,2008,Endangered
101702,2002,Endangered
101702,1996,Vulnerable
101702,1994,Insufficiently Known
101702,1990,Rare
101702,1988,Rare
101702,1986,Rare
101702,1982,Rare
101699,2016,Vulnerable
34024,2016,Least Concern
34024,2012,Least Concern
34024,2009,Least Concern
34024,2008,Least Concern
34024,2004,Least Concern
34024,2000,Lower Risk/least concern
34024,1994,Lower Risk/least concern
34024,1988,Lower Risk/least concern
120700,2018,Critically Endangered
120700,2016,Critically Endangered
120700,2015,Critically Endangered
120700,2014,Critically Endangered
67897,2020,Least Concern
134351,2021,Endangered
134351,2020,Endangered
134351,2008,Endangered
134351,2000,Endangered
134351,1996,Vulnerable
134351,1994,Vulnerable
134351,1990,Vulnerable
134351,1988,Vulnerable
134351,1986,Vulnerable
111454,2021,Vulnerable
111454,2016,Vulnerable
111454,2015,Vulnerable
111454,2008,Vulnerable
111454,2002,Vulnerable
111454,1996,Vulnerable
111454,1994,Vulnerable
111454,1990,Vulnerable
111454,1988,Vulnerable
111454,1986,Vulnerable
34575,2016,Least Concern
34575,2012,Least Concern
34575,2009,Least Concern
34575,2008,Least Concern
34575,2004,Least Concern
34575,2000,Lower Risk/near threatened
34575,1996,Vulnerable
34575,1994,Vulnerable
34575,1988,Threatened
132944,2020,Critically Endangered
132944,2008,Critically Endangered
132944,2000,Endangered
121159,2018,Vulnerable
121159,2016,Vulnerable
121159,2013,Vulnerable
121159,2012,Vulnerable
121159,2008,Vulnerable
121159,2004,Vulnerable
121159,2000,Vulnerable
121159,1996,Endangered
121159,1994,Endangered
121159,1988,Threatened
118291,2017,Critically Endangered
136358,2014,Vulnerable
136358,2010,Vulnerable
136358,2008,Vulnerable
136358,2006,Vulnerable
136358,1996,Endangered
136358,1994,Vulnerable
136358,1990,Vulnerable
136358,1988,Vulnerable
136358,1986,Vulnerable
136358,1982,Vulnerable
136358,1965,"""Status inadequately known-survey required or data sought"""
25665,2022,Least Concern
136359,2016,Near Threatened
136359,2008,Vulnerable
136359,1996,Vulnerable
136359,1994,Insufficiently Known
